Número de orden;Email;Fecha;Estado de la orden;Estado del pago;Estado del envío;Moneda;Subtotal de productos;Descuento;Costo de envío;Total;Nombre del comprador;Teléfono;Dirección;Ciudad;Provincia o estado;País;Código postal;Medio de envío;Medio de pago;Cupón de descuento;Fecha de pago;Fecha de envío;Nombre del producto;Precio del producto;Cantidad del producto;SKU;Canal;Fecha y hora de cancelación;Motivo de cancelación
#1001;cliente01@example.com;03/01/2026 09:22;Cerrada;Pagado;Entregado;ARS;58000.00;0.00;6183.74;64183.74;Cliente 01;+5400011111101;Calle Falsa 7459;San Miguel de Tucumán;Tucumán;Argentina;5557;OCA estándar;Mercado Pago;;03/01/2026 22:22;05/01/2026 09:22;Remera Básica Blanca - M;8500.00;1;REM-BLA-M;web;;
#1001;cliente01@example.com;03/01/2026 09:22;Cerrada;Pagado;Entregado;ARS;58000.00;0.00;6183.74;64183.74;Cliente 01;+5400011111101;Calle Falsa 7459;San Miguel de Tucumán;Tucumán;Argentina;5557;OCA estándar;Mercado Pago;;03/01/2026 22:22;05/01/2026 09:22;Campera Puffer Negra - M;45000.00;1;CAM-PUF-M;web;;
#1001;cliente01@example.com;03/01/2026 09:22;Cerrada;Pagado;Entregado;ARS;58000.00;0.00;6183.74;64183.74;Cliente 01;+5400011111101;Calle Falsa 7459;San Miguel de Tucumán;Tucumán;Argentina;5557;OCA estándar;Mercado Pago;;03/01/2026 22:22;05/01/2026 09:22;Medias Logo - Pack 3;4500.00;1;MED-PK3;web;;
#1002;cliente01@example.com;06/03/2026 10:36;Cerrada;Pagado;Entregado;ARS;36400.00;0.00;6108.68;42508.68;Cliente 01;+5400011111101;Calle Falsa 6025;San Miguel de Tucumán;Tucumán;Argentina;4150;Andreani estándar;Transferencia bancaria;;07/03/2026 03:36;09/03/2026 10:36;Gorra Trucker Negra;6900.00;1;GOR-NEG;web;;
#1002;cliente01@example.com;06/03/2026 10:36;Cerrada;Pagado;Entregado;ARS;36400.00;0.00;6108.68;42508.68;Cliente 01;+5400011111101;Calle Falsa 6025;San Miguel de Tucumán;Tucumán;Argentina;4150;Andreani estándar;Transferencia bancaria;;07/03/2026 03:36;09/03/2026 10:36;Remera Básica Blanca - L;8500.00;1;REM-BLA-L;web;;
#1002;cliente01@example.com;06/03/2026 10:36;Cerrada;Pagado;Entregado;ARS;36400.00;0.00;6108.68;42508.68;Cliente 01;+5400011111101;Calle Falsa 6025;San Miguel de Tucumán;Tucumán;Argentina;4150;Andreani estándar;Transferencia bancaria;;07/03/2026 03:36;09/03/2026 10:36;Remera Básica Blanca - M;8500.00;1;REM-BLA-M;web;;
#1002;cliente01@example.com;06/03/2026 10:36;Cerrada;Pagado;Entregado;ARS;36400.00;0.00;6108.68;42508.68;Cliente 01;+5400011111101;Calle Falsa 6025;San Miguel de Tucumán;Tucumán;Argentina;4150;Andreani estándar;Transferencia bancaria;;07/03/2026 03:36;09/03/2026 10:36;Riñonera Crossbody Negra;12500.00;1;RIN-NEG;web;;
#1003;cliente02@example.com;27/01/2026 04:02;Cerrada;Pagado;Entregado;ARS;19500.00;0.00;0.00;19500.00;Cliente 02;+5400011111102;Calle Falsa 1269;Godoy Cruz;Mendoza;Argentina;3803;Retiro en local;Efectivo (Pago Fácil);;27/01/2026 12:02;02/02/2026 04:02;Camisa Lino Blanca - M;19500.00;1;CAM-BLA-M;mobile;;
#1004;cliente08@example.com;25/11/2025 23:03;Cerrada;Pagado;Entregado;ARS;6900.00;0.00;0.00;6900.00;Cliente 08;+5400011111108;Calle Falsa 4486;Mar del Plata;Buenos Aires;Argentina;2084;Retiro en local;Mercado Pago;;26/11/2025 09:03;29/11/2025 23:03;Gorra Trucker Negra;6900.00;1;GOR-NEG;web;;
#1005;cliente19@example.com;31/07/2025 00:12;Cerrada;Pagado;Entregado;ARS;40500.00;0.00;6741.04;47241.04;Cliente 19;+5400011111119;Calle Falsa 2366;Neuquén;Neuquén;Argentina;9348;Correo Argentino estándar;Mercado Pago;;31/07/2025 11:12;02/08/2025 00:12;Buzo Oversize Gris - M;22000.00;1;BUZ-GRI-M;mobile;;
#1005;cliente19@example.com;31/07/2025 00:12;Cerrada;Pagado;Entregado;ARS;40500.00;0.00;6741.04;47241.04;Cliente 19;+5400011111119;Calle Falsa 2366;Neuquén;Neuquén;Argentina;9348;Correo Argentino estándar;Mercado Pago;;31/07/2025 11:12;02/08/2025 00:12;Pantalón Jogger Negro - L;18500.00;1;PAN-NEG-L;mobile;;
#1006;cliente25@example.com;11/11/2025 03:11;Cerrada;Pagado;Entregado;ARS;14000.00;0.00;3606.45;17606.45;Cliente 25;+5400011111125;Calle Falsa 8897;CABA;Buenos Aires;Argentina;5371;Andreani estándar;Mercado Pago;;11/11/2025 06:11;17/11/2025 03:11;Riñonera Crossbody Negra;12500.00;1;RIN-NEG;web;;
#1006;cliente25@example.com;11/11/2025 03:11;Cerrada;Pagado;Entregado;ARS;14000.00;0.00;3606.45;17606.45;Cliente 25;+5400011111125;Calle Falsa 8897;CABA;Buenos Aires;Argentina;5371;Andreani estándar;Mercado Pago;;11/11/2025 06:11;17/11/2025 03:11;Sticker Pack;1500.00;1;STK-001;web;;
#1007;cliente11@example.com;19/02/2026 12:55;Cerrada;Pagado;Entregado;ARS;36500.00;0.00;4183.34;40683.34;Cliente 11;+5400011111111;Calle Falsa 8937;Mar del Plata;Buenos Aires;Argentina;9689;Andreani estándar;Mercado Pago;;19/02/2026 23:55;21/02/2026 12:55;Short Surf Verde - M;14500.00;1;SHO-VER-M;web;;
#1007;cliente11@example.com;19/02/2026 12:55;Cerrada;Pagado;Entregado;ARS;36500.00;0.00;4183.34;40683.34;Cliente 11;+5400011111111;Calle Falsa 8937;Mar del Plata;Buenos Aires;Argentina;9689;Andreani estándar;Mercado Pago;;19/02/2026 23:55;21/02/2026 12:55;Buzo Oversize Gris - L;22000.00;1;BUZ-GRI-L;web;;
#1008;cliente20@example.com;15/04/2026 06:00;Cerrada;Pagado;Entregado;ARS;27000.00;5400.00;4132.05;25732.05;Cliente 20;+5400011111120;Calle Falsa 7887;CABA;Buenos Aires;Argentina;3705;Andreani estándar;Mercado Pago;SALE20;15/04/2026 10:00;17/04/2026 06:00;Pantalón Jogger Negro - M;18500.00;1;PAN-NEG-M;pos;;
#1008;cliente20@example.com;15/04/2026 06:00;Cerrada;Pagado;Entregado;ARS;27000.00;5400.00;4132.05;25732.05;Cliente 20;+5400011111120;Calle Falsa 7887;CABA;Buenos Aires;Argentina;3705;Andreani estándar;Mercado Pago;SALE20;15/04/2026 10:00;17/04/2026 06:00;Remera Básica Negra - L;8500.00;1;REM-NEG-L;pos;;
#1009;cliente20@example.com;19/08/2025 17:53;Cerrada;Pagado;Entregado;ARS;19400.00;1940.00;5514.26;22974.26;Cliente 20;+5400011111120;Calle Falsa 1263;Córdoba;Córdoba;Argentina;1964;OCA estándar;Tarjeta de crédito Mastercard;WELCOME10;20/08/2025 00:53;20/08/2025 17:53;Riñonera Crossbody Negra;12500.00;1;RIN-NEG;web;;
#1009;cliente20@example.com;19/08/2025 17:53;Cerrada;Pagado;Entregado;ARS;19400.00;1940.00;5514.26;22974.26;Cliente 20;+5400011111120;Calle Falsa 1263;Córdoba;Córdoba;Argentina;1964;OCA estándar;Tarjeta de crédito Mastercard;WELCOME10;20/08/2025 00:53;20/08/2025 17:53;Gorra Trucker Beige;6900.00;1;GOR-BEI;web;;
#1010;cliente02@example.com;06/08/2025 13:31;Cerrada;Pagado;Entregado;ARS;45000.00;0.00;5918.92;50918.92;Cliente 02;+5400011111102;Calle Falsa 5904;Neuquén;Neuquén;Argentina;7939;Andreani estándar;Mercado Pago;;07/08/2025 10:31;10/08/2025 13:31;Campera Puffer Negra - M;45000.00;1;CAM-PUF-M;web;;
#1011;cliente24@example.com;12/10/2025 01:15;Cerrada;Pagado;Entregado;ARS;8500.00;0.00;3397.23;11897.23;Cliente 24;+5400011111124;Calle Falsa 7360;Quilmes;Buenos Aires;Argentina;2604;Andreani estándar;Efectivo (Pago Fácil);;12/10/2025 08:15;13/10/2025 01:15;Remera Básica Blanca - L;8500.00;1;REM-BLA-L;web;;
#1012;cliente18@example.com;02/06/2025 11:09;Cancelada;Reembolsado;Sin envío;ARS;44000.00;0.00;4993.91;48993.91;Cliente 18;+5400011111118;Calle Falsa 7030;Paraná;Entre Ríos;Argentina;8973;OCA estándar;Tarjeta de crédito Mastercard;;;;Buzo Oversize Negro - M;22000.00;2;BUZ-NEG-M;web;03/06/2025 17:09;Stock no disponible
#1013;cliente10@example.com;10/07/2025 12:01;Cancelada;Pendiente;Sin envío;ARS;45000.00;0.00;3562.25;48562.25;Cliente 10;+5400011111110;Calle Falsa 9849;CABA;Buenos Aires;Argentina;2113;Correo Argentino estándar;Transferencia bancaria;;;;Campera Puffer Negra - M;45000.00;1;CAM-PUF-M;web;11/07/2025 00:01;Cambio de opinión
#1014;cliente08@example.com;16/01/2026 10:51;Cerrada;Pagado;Entregado;ARS;45000.00;0.00;3021.53;48021.53;Cliente 08;+5400011111108;Calle Falsa 2244;Tigre;Buenos Aires;Argentina;5915;Correo Argentino estándar;Mercado Pago;;16/01/2026 18:51;20/01/2026 10:51;Campera Puffer Negra - M;45000.00;1;CAM-PUF-M;web;;
#1015;cliente25@example.com;28/10/2025 21:17;Cerrada;Pagado;Entregado;ARS;22000.00;3300.00;7137.81;25837.81;Cliente 25;+5400011111125;Calle Falsa 5056;Comodoro Rivadavia;Chubut;Argentina;9666;Cadete (CABA y GBA);Mercado Pago;WELCOME10;29/10/2025 14:17;03/11/2025 21:17;Buzo Oversize Negro - M;22000.00;1;BUZ-NEG-M;pos;;
#1016;cliente18@example.com;17/05/2025 20:31;Cerrada;Pagado;Entregado;ARS;55000.00;0.00;0.00;55000.00;Cliente 18;+5400011111118;Calle Falsa 1612;Quilmes;Buenos Aires;Argentina;7939;Retiro en local;Mercado Pago;;18/05/2025 04:31;18/05/2025 20:31;Short Surf Negro - M;14500.00;1;SHO-NEG-M;web;;
#1016;cliente18@example.com;17/05/2025 20:31;Cerrada;Pagado;Entregado;ARS;55000.00;0.00;0.00;55000.00;Cliente 18;+5400011111118;Calle Falsa 1612;Quilmes;Buenos Aires;Argentina;7939;Retiro en local;Mercado Pago;;18/05/2025 04:31;18/05/2025 20:31;Buzo Oversize Gris - M;22000.00;1;BUZ-GRI-M;web;;
#1016;cliente18@example.com;17/05/2025 20:31;Cerrada;Pagado;Entregado;ARS;55000.00;0.00;0.00;55000.00;Cliente 18;+5400011111118;Calle Falsa 1612;Quilmes;Buenos Aires;Argentina;7939;Retiro en local;Mercado Pago;;18/05/2025 04:31;18/05/2025 20:31;Pantalón Jogger Negro - L;18500.00;1;PAN-NEG-L;web;;
#1017;cliente02@example.com;13/03/2026 17:05;Cerrada;Pagado;Entregado;ARS;19000.00;0.00;4307.86;23307.86;Cliente 02;+5400011111102;Calle Falsa 2526;La Plata;Buenos Aires;Argentina;8041;Andreani estándar;Transferencia bancaria;;14/03/2026 11:05;18/03/2026 17:05;Medias Logo - Pack 3;4500.00;1;MED-PK3;web;;
#1017;cliente02@example.com;13/03/2026 17:05;Cerrada;Pagado;Entregado;ARS;19000.00;0.00;4307.86;23307.86;Cliente 02;+5400011111102;Calle Falsa 2526;La Plata;Buenos Aires;Argentina;8041;Andreani estándar;Transferencia bancaria;;14/03/2026 11:05;18/03/2026 17:05;Short Surf Negro - M;14500.00;1;SHO-NEG-M;web;;
#1018;cliente10@example.com;30/06/2025 12:25;Cerrada;Pagado;Despachado;ARS;29000.00;0.00;3741.32;32741.32;Cliente 10;+5400011111110;Calle Falsa 6855;CABA;Buenos Aires;Argentina;1406;Andreani estándar;Tarjeta de crédito Visa;;30/06/2025 17:25;02/07/2025 12:25;Short Surf Negro - M;14500.00;2;SHO-NEG-M;web;;
#1019;cliente11@example.com;19/07/2025 11:11;Cerrada;Pagado;Despachado;ARS;8500.00;1275.00;0.00;7225.00;Cliente 11;+5400011111111;Calle Falsa 3828;Salta;Salta;Argentina;4652;Retiro en local;Tarjeta de crédito Visa;FREESHIP;19/07/2025 22:11;22/07/2025 11:11;Remera Básica Blanca - L;8500.00;1;REM-BLA-L;web;;
#1020;cliente07@example.com;23/05/2025 15:18;Cerrada;Pagado;Despachado;ARS;27000.00;0.00;3022.43;30022.43;Cliente 07;+5400011111107;Calle Falsa 9874;San Isidro;Buenos Aires;Argentina;8119;Cadete (CABA y GBA);Tarjeta de crédito Visa;;23/05/2025 16:18;24/05/2025 15:18;Riñonera Crossbody Negra;12500.00;1;RIN-NEG;web;;
